站名,文件夹ID,经度,纬度,省份/地区,详细位置,海拔(m),植被类型,冠层高度(m),优势种,气候类型,土壤类型,土壤质地,土壤湿度深度,土壤温度深度,土壤热通量深度,风速观测高度(m),温度观测高度(m)
呼中站,3994,121°01′04″E,51°46′52″N,黑龙江省,黑龙江呼中,773,寒温性针叶林,15,兴安落叶松(单优势种)、白桦(主要伴生),寒温带大陆性季风气候,棕色针叶林土,-,-,-,-,-,-
千烟洲站,3995,-,-,江西省,千烟洲,,人工针叶林,12,马尾松、湿地松、杉木,亚热带季风气候,-,-,CS615-L,"105T,107-L",-,-,-
当雄站,3996,91°05′E,30°51′N,西藏自治区,当雄县,4333,高寒草原化草甸,-,高山嵩草等,高原亚寒带季风气候,高寒草甸土,-,-,-,-5cm(HFP01),2.2,2.2
多伦站,3997,-,-,内蒙古自治区,内蒙古多伦,,典型草原,-,-,温带大陆性季风气候,-,-,CS616,107,2cm(HFT-3),4,1m(温度)
海北站,3998,101°19′E,37°37′N,青海省,青海海北高寒草地生态系统国家野外科学观测研究站,,高寒禾草-矮嵩草草甸,-,高寒禾草、矮嵩草,高原气候,-,-,-,-,-,-,-
那曲站,3999,92°01′E,31°39′N,西藏自治区,那曲,4585,高寒草甸,-,高山嵩草(优势种)、二裂委陵菜、钉柱委陵菜等,高原亚寒带季气候,高山草甸土,土层厚度30cm以内,-,-,-,-,-
若尔盖站,4000,102°33′E,32°48′N,四川省,阿坝州红原县,3500,高寒草甸,-,发草、草地早熟禾、垂穗披碱草、甘青剪股颖、四川嵩草等,大陆性高原寒温带季风气候,亚高山草甸土,土壤厚度0.3-0.5m,-,-,-,-,-
三江源站,4001,100°41′57″E,35°15′11″N,青海省,青藏高原东部,,垂穗披碱草人工草地,-,垂穗披碱草,高原气候,-,-,-,-,-,-,-
锡林浩特站,4002,116°24′14.4″E,43°19′31.8″N,内蒙古自治区,锡林浩特典型草原,,温带典型草原,0.5,羊草、冰草、大针茅、糙隐子草、寸草苔,温带大陆性季风气候,暗栗钙土,轻壤土,"5,20,50cm","5,10,20,50,100cm",5cm(HFP01),1.5和2.5,1.5和2.5
内蒙古站(围封),4003,116°24′14.4″E,43°19′31.8″N,内蒙古自治区,中国科学院内蒙古草原生态系统定位研究站,,温带典型草原,0.5,羊草、冰草、大针茅、糙隐子草、寸草苔,温带大陆性季风气候,暗栗钙土,轻壤土,"5,20,50cm","5,10,20,50,100cm",5cm(HFP01),2.5,1.5和2.5
元江站,4004,-,-,云南省,元江县,,稀树草原生态系统,-,-,-,-,-,-,-,-,-,-
鼎湖山站,4005,112°30′39″-112°33′41″E,23°09′21″-23°11′30″N,广东省,鼎湖山国家级自然保护区,,针阔叶混交林,-,-,-,-,-,-,-,-,-
长白山站,4006,128.0958°E,42.4025°N,吉林省,长白山,,温带阔叶红松林,27,红松、椴树、蒙古栎、水曲柳,温带季风气候,-,-,-,-,-,"32m,28m","32m,28m"
固城站,4016,115°40′E,39°08′N,河北省,定兴县固城镇,15,冬小麦-夏玉米一年两熟农田,0.72(冬小麦)/2.90(夏玉米),冬小麦、夏玉米,暖温带大陆性季风气候,砂壤土,砂壤土为主,-,-,-,-,-
锦州站,4017,121°12′6″E,41°8′53″N,辽宁省,锦州市太和区英屯村,23,春玉米农田,2.8,春玉米,暖温带季风气候,棕壤,中壤土,-,-,-,-,-
句容站,4018,119°13′2.15″E,31°48′24.59″N,江苏省,句容市,15,水稻农田,1.1,水稻,亚热带季风气候,典型水稻土,粘壤土,-,-,-,-,-
河西走廊绿洲农田站,4019,100°08′27″E,39°19′38″N,甘肃省,临泽绿洲,1378,绿洲农田(制种玉米),2.0,制种玉米,典型大陆性干旱气候,沙质壤土,"沙土:59%,粉土:36.3%,粘土:4.7%",-,-,-,-,-
栾城站,4020,114°41′E,37°53′N,河北省,太行山山前平原,,冬小麦-夏玉米一年两熟农田,-,冬小麦、夏玉米,暖温带大陆性季风气候,-,-,-,-,-,-,-
盘锦稻田站,4021,121°57′37″E,40°56′29″N,辽宁省,盘锦稻田研究站,2,稻田,0.9,耐盐碱水稻,暖温带大陆性半湿润季风气候,盐渍化水稻土,-,-,-,-,-
庆阳站,4022,107°51′E,35°40′N,甘肃省,庆阳县,1297,粮草复合生态系统,-,-,温带大陆性气候,-,-,-,-,-,-,-
达茂荒漠草原站,4008,110°19′53.3″E,41°38′38.3″N,内蒙古自治区,包头市达尔罕茂明安联合旗百灵庙镇西北13.5km,1409,荒漠草原(针茅),-,-,温带大陆性干旱气候,-,-,-,-,-,-,-
崇明东滩站,4009,121°57.643′E,31°31.000′N,上海市,崇明东滩湿地,,亚热带滨海盐沼,-,芦苇、互花米草,亚热带季风气候,-,-,-,-,-,-,-
洞庭湖站,4010,113°03′8.91″E,29°29′15.02″N,湖南省,洞庭湖湿地,,南荻生态系统,-,-,亚热带季风气候,-,-,-,-,-,-,-
海北高寒湿地站,4011,-,-,青海省,门源县,,高寒帕米尔苔草湿地,-,-,高原气候,-,-,-,-,-,-,-
盘锦芦苇湿地站,4012,121°57′52.53″E,40°55′57.81″N,辽宁省,盘锦,2,芦苇湿地,-,-,温带大陆性半湿润季风气候,-,-,-,-,-,-,-
海北高寒灌丛站,4013,101°19′E,37°37′N,青海省,海北高寒草地生态系统国家野外科学观测研究站,,高寒金露梅灌丛,-,-,高原气候,-,-,-,-,-,-,-
普定站,4014,105°43′E,26°36′N,贵州省,普定喀斯特生态系统观测研究站,,喀斯特生态系统,-,-,亚热带季风气候,-,-,-,-,-,-,-
燕山站,4015,116°39′13″-116°39′32″E,40°25′1″-40°25′17″N,北京市,怀柔区,,山地灌丛/乔灌混交林/针叶林,-,荆条、扁担杆等,温带大陆性季风气候,-,-,-,-,-,-,-
